,stateZ_timestamp,cf_x,cf_y,cf_z,obs_x,obs_y,obs_z,cf_mocap_data_x,cf_mocap_data_y,cf_mocap_data_z
0,1049863.0,-1062.0,84.0,13.0,0.0005044671630859375,-3.8449974060058595e-05,0.0006570040283203124,-1.062697509765625,0.08488982391357422,0.013765917778015137
1,1049873.0,-1062.0,84.0,13.0,0.0005044596862792968,-3.844794082641602e-05,0.0006570093383789063,-1.0626591796875,0.08456358337402343,0.01390337085723877
2,1049883.0,-1062.0,84.0,20.0,0.0005044713439941406,-3.8454826354980464e-05,0.0006570114135742188,-1.062534423828125,0.08452706146240234,0.013737233161926269
3,1049893.0,-1062.0,84.0,20.0,0.0005044478454589844,-3.843582153320312e-05,0.0006570117797851562,-1.0627197265625,0.08490996551513671,0.013749883651733399
4,1049903.0,-1062.0,84.0,19.0,0.0005044853210449218,-3.8452331542968756e-05,0.00065702880859375,-1.06270068359375,0.08490982818603515,0.013753415107727051
5,1049913.0,-1062.0,84.0,19.0,0.0005044842529296874,-3.8439464569091796e-05,0.0006570042114257813,-1.0626480712890625,0.08459334564208984,0.013888496398925781
6,1049923.0,-1062.0,84.0,18.0,0.0005044518127441406,-3.845344924926758e-05,0.0006570035400390625,-1.0624532470703125,0.08455097198486328,0.013832371711730957
7,1049933.0,-1062.0,84.0,20.0,0.0005044568481445313,-3.842556762695312e-05,0.0006570046997070312,-1.06268505859375,0.08488607025146484,0.013745759010314941
8,1049943.0,-1062.0,84.0,19.0,0.0005044522705078125,-3.845905685424805e-05,0.0006570084838867187,-1.0626300048828126,0.08489779663085938,0.013789281845092774
9,1049953.0,-1062.0,84.0,19.0,0.0005044581909179688,-3.8459693908691404e-05,0.0006569985351562499,-1.0626153564453125,0.08476190185546875,0.013813769340515137
10,1049963.0,-1062.0,84.0,19.0,0.0005044668273925781,-3.843552780151367e-05,0.0006569999389648437,-1.06265869140625,0.08471271514892578,0.013817785263061523
11,1049973.0,-1062.0,84.0,18.0,0.0005044529724121095,-3.8450973510742186e-05,0.0006569951171875,-1.062673828125,0.08488445281982422,0.013747751235961914
12,1049983.0,-1062.0,84.0,18.0,0.0005044476623535157,-3.846833801269531e-05,0.0006569995117187501,-1.06267919921875,0.08488091278076172,0.013754830360412598
13,1049993.0,-1062.0,84.0,18.0,0.0005044337463378907,-3.8441085815429686e-05,0.0006570049438476563,-1.062628662109375,0.0847815399169922,0.013802292823791504
14,1050003.0,-1062.0,84.0,17.0,0.0005044610900878906,-3.846212005615234e-05,0.0006570194091796875,-1.062645751953125,0.08467804718017578,0.013810717582702636
15,1050013.0,-1062.0,84.0,17.0,0.0005044728088378906,-3.8455505371093745e-05,0.0006570111083984375,-1.0626748046875,0.08489164733886718,0.01375557804107666
16,1050023.0,-1062.0,84.0,18.0,0.0005044792175292969,-3.8452301025390626e-05,0.0006570115966796874,-1.062692138671875,0.08488443756103516,0.01376787757873535
17,1050033.0,-1062.0,84.0,18.0,0.0005044536743164062,-3.8462150573730464e-05,0.0006570031127929687,-1.062672119140625,0.08487879943847657,0.013743061065673828
18,1050043.0,-1062.0,84.0,18.0,0.0005045700988769531,-3.8378883361816405e-05,0.0006570821533203125,-1.0626331787109375,0.08455786895751953,0.013880330085754395
19,1050053.0,-1062.0,84.0,17.0,0.0005045571594238282,-3.836901092529297e-05,0.0006570821533203125,-1.0626971435546875,0.08488591766357421,0.01374323558807373
20,1050063.0,-1062.0,84.0,19.0,0.0005045523376464844,-3.837005615234375e-05,0.0006570872192382813,-1.0627247314453125,0.08490807342529297,0.013739670753479004
21,1050073.0,-1062.0,84.0,19.0,0.000504532470703125,-3.837417984008789e-05,0.0006571043090820312,-1.0627376708984375,0.08489627075195312,0.013757468223571778
22,1050083.0,-1062.0,84.0,18.0,0.0005045825805664063,-3.834262847900391e-05,0.0006571092529296875,-1.06271044921875,0.08458206939697266,0.013892752647399902
23,1050093.0,-1062.0,84.0,18.0,0.0005045336303710938,-3.8362289428710934e-05,0.0006570906372070312,-1.062705322265625,0.08489464569091797,0.013737913131713866
24,1050103.0,-1062.0,84.0,19.0,0.0005045639038085937,-3.8356288909912104e-05,0.0006570888671875,-1.0627357177734376,0.08488685607910157,0.013735287666320801
25,1050113.0,-1062.0,84.0,19.0,0.0005045820922851562,-3.834077835083008e-05,0.000657078857421875,-1.0627398681640625,0.0848900146484375,0.013725027084350586
26,1050123.0,-1062.0,84.0,19.0,0.0005045501403808594,-3.8351593017578124e-05,0.00065709033203125,-1.0627550048828125,0.08472980499267578,0.013757952690124512
27,1050133.0,-1062.0,84.0,18.0,0.0005045971069335937,-3.837203979492187e-05,0.0006571068115234375,-1.062451171875,0.08457366943359375,0.0138458833694458
28,1050143.0,-1062.0,84.0,18.0,0.0005045443725585938,-3.8354034423828126e-05,0.0006571052856445313,-1.062744384765625,0.08489032745361329,0.013726519584655763
29,1050153.0,-1062.0,84.0,19.0,0.0005045846252441406,-3.8374588012695314e-05,0.0006571196899414063,-1.06275244140625,0.08489075469970703,0.013716460227966309
30,1050163.0,-1062.0,84.0,19.0,0.0005045780944824219,-3.836965560913086e-05,0.0006570964355468751,-1.062795654296875,0.0847391357421875,0.013723910331726074
