,stateZ_timestamp,cf_x,cf_y,cf_z,obs_x,obs_y,obs_z
0,399127.0,-0.386,0.159,0.019,-0.38625942993164064,0.15902735900878906,0.01924923896789551
1,399137.0,-0.386,0.159,0.019,1.8618427734375,0.1288026885986328,0.6780826416015625
2,399147.0,-0.386,0.159,0.019,1.8617474365234374,0.1288136444091797,0.67802392578125
3,399157.0,-0.386,0.159,0.025,1.861809814453125,0.12879005432128907,0.678070068359375
4,399167.0,-0.386,0.158,0.024,1.861810546875,0.12877073669433595,0.6780665893554687
5,399177.0,-0.386,0.158,0.024,-0.3861870422363281,0.1590610809326172,0.01920309257507324
6,399187.0,-0.386,0.159,0.023,-0.3860415344238281,0.15885591125488283,0.019404996871948244
7,399197.0,-0.386,0.159,0.023,1.8617620849609375,0.12883428955078124,0.678042724609375
8,399207.0,-0.386,0.158,0.026,-0.3862078857421875,0.15894956970214844,0.019242654800415038
9,399217.0,-0.386,0.158,0.026,1.861785888671875,0.12876145935058594,0.6780751342773438
10,399227.0,-0.386,0.159,0.025,1.86178515625,0.12873046875,0.678095703125
11,399237.0,-0.386,0.158,0.025,1.8618087158203125,0.1286319580078125,0.6781680908203125
12,399247.0,-0.385,0.158,0.027,1.86179150390625,0.128640380859375,0.6781434326171875
13,399257.0,-0.385,0.158,0.026,1.861634033203125,0.12873300170898438,0.6780228881835938
14,399267.0,-0.385,0.158,0.026,-0.3862343444824219,0.15911439514160156,0.019131769180297853
15,399277.0,-0.385,0.158,0.026,-0.38598703002929685,0.15871978759765626,0.01944592475891113
16,399287.0,-0.385,0.158,0.027,1.8605875244140626,0.12940069580078126,0.6773829345703125
17,399297.0,-0.385,0.158,0.027,1.8605987548828125,0.12938688659667968,0.6773750610351562
18,399307.0,-0.385,0.158,0.026,1.8605985107421874,0.12941996765136718,0.6773958129882812
19,399317.0,-0.385,0.158,0.026,-0.3861841125488281,0.15900344848632814,0.019387168884277342
20,399327.0,-0.386,0.159,0.026,1.860612060546875,0.1293780517578125,0.6773656616210938
21,399337.0,-0.386,0.159,0.026,1.86064453125,0.1294019470214844,0.67740283203125
22,399347.0,-0.386,0.159,0.026,-0.3863148498535156,0.15903587341308595,0.0192589054107666
23,399357.0,-0.385,0.158,0.025,-0.3860220947265625,0.15902874755859375,0.019445375442504884
24,399367.0,-0.385,0.158,0.025,-0.3857832336425781,0.15873977661132813,0.019661697387695312
25,399377.0,-0.385,0.158,0.028,-0.38635595703125,0.1590484619140625,0.019132736206054688
26,399387.0,-0.385,0.158,0.027,-0.3863167114257812,0.1590043487548828,0.019057464599609376
27,399397.0,-0.385,0.158,0.027,-0.3860050048828125,0.15888204956054688,0.019450944900512697
28,399407.0,-0.385,0.159,0.026,-0.385490966796875,0.15859230041503905,0.01970456886291504
29,399417.0,-0.385,0.159,0.026,-0.3862978515625,0.159010986328125,0.01917961883544922
30,399427.0,-0.385,0.158,0.027,1.8606048583984376,0.12935491943359376,0.6774223022460938
31,399437.0,-0.385,0.158,0.027,-0.3859944152832031,0.15880270385742187,0.01941905403137207
32,399447.0,-0.385,0.158,0.026,1.860603271484375,0.12935646057128905,0.6774241943359375
33,399457.0,-0.385,0.158,0.026,-0.3862860412597656,0.15898387145996093,0.01912188148498535
34,399467.0,-0.385,0.158,0.028,1.8606324462890624,0.12932441711425782,0.6774190673828125
35,399477.0,-0.385,0.158,0.027,-0.3862999572753906,0.15901800537109376,0.019190237045288085
36,399487.0,-0.385,0.158,0.027,1.8606517333984376,0.129356689453125,0.6774391479492188
37,399497.0,-0.385,0.158,0.027,1.86061474609375,0.12933804321289064,0.6774066772460937
38,399507.0,-0.385,0.158,0.027,1.860636474609375,0.12938212585449219,0.6774650268554687
39,399517.0,-0.385,0.158,0.027,-0.386302734375,0.15901106262207032,0.01912149429321289
40,399527.0,-0.385,0.158,0.026,-0.3852427978515625,0.15856053161621095,0.019816242218017577
41,399537.0,-0.385,0.158,0.026,-0.3863148498535156,0.15903913879394532,0.019200197219848635
42,399547.0,-0.385,0.158,0.025,-0.3862810363769531,0.15903053283691407,0.019179174423217774
43,399557.0,-0.385,0.158,0.027,-0.3863183898925781,0.1589973907470703,0.0191004638671875
44,399567.0,-0.385,0.158,0.027,1.8606400146484374,0.12934315490722656,0.6774140625
45,399577.0,-0.385,0.158,0.026,1.8606080322265626,0.12936830139160158,0.6774224853515625
46,399587.0,-0.385,0.158,0.026,1.8606033935546875,0.1293201446533203,0.6773851318359375
47,399597.0,-0.385,0.158,0.027,1.860603271484375,0.12936062622070313,0.677430908203125
48,399607.0,-0.385,0.158,0.026,1.8606326904296875,0.1293618621826172,0.6774212646484375
49,399617.0,-0.385,0.158,0.026,1.8606151123046875,0.12937065124511718,0.6774238891601563
50,399627.0,-0.385,0.158,0.026,-0.38644036865234377,0.15909098815917969,0.01915446090698242
51,399637.0,-0.385,0.158,0.025,1.860623779296875,0.12934017944335938,0.6774036254882813
52,399647.0,-0.385,0.158,0.027,-0.3862989501953125,0.15904751586914062,0.01918553161621094
53,399657.0,-0.385,0.158,0.027,1.8606214599609374,0.12932667541503906,0.6773817138671875
54,399667.0,-0.385,0.158,0.026,1.8606265869140626,0.12932945251464845,0.6773988037109375
55,399677.0,-0.385,0.158,0.026,1.8606177978515626,0.12932542419433593,0.6774014282226563
56,399687.0,-0.385,0.158,0.028,-0.38639599609375,0.15900881958007812,0.019099010467529296
57,399697.0,-0.385,0.158,0.028,-0.3854334716796875,0.15866091918945313,0.019796710968017578
58,399707.0,-0.385,0.158,0.027,1.860625732421875,0.12935830688476563,0.6774120483398437
59,399717.0,-0.385,0.158,0.027,-0.3862790222167969,0.15901094055175782,0.019132583618164063
60,399727.0,-0.385,0.158,0.027,-0.386233642578125,0.1589813232421875,0.019136112213134767
61,399737.0,-0.385,0.158,0.027,-0.386013671875,0.15892051696777343,0.019427345275878905
62,399747.0,-0.385,0.158,0.027,1.860650390625,0.1293249816894531,0.6773958129882812
63,399757.0,-0.385,0.158,0.026,-0.38634637451171877,0.1590042724609375,0.01928287696838379
64,399767.0,-0.385,0.158,0.026,1.8606441650390626,0.1293751220703125,0.677412841796875
65,399777.0,-0.385,0.158,0.027,1.860634765625,0.1293380126953125,0.6774052734375
66,399787.0,-0.385,0.158,0.027,1.860622802734375,0.1293668212890625,0.6774257202148437
67,399797.0,-0.385,0.158,0.026,-0.38632620239257814,0.158982177734375,0.019261438369750975
68,399807.0,-0.385,0.158,0.026,-0.3863394470214844,0.15901197814941406,0.019224624633789062
69,399817.0,-0.385,0.158,0.028,-0.38637371826171873,0.15903297424316407,0.019296228408813478
70,399827.0,-0.385,0.158,0.027,-0.3862392578125,0.15886358642578124,0.019155845642089844
71,399837.0,-0.385,0.158,0.027,-0.3862960510253906,0.15895504760742188,0.0191643009185791
72,399847.0,-0.385,0.158,0.026,-0.38630960083007815,0.15901353454589845,0.019194782257080076
73,399857.0,-0.385,0.158,0.026,-0.386017333984375,0.15889939880371093,0.01935671043395996
74,399867.0,-0.385,0.158,0.026,-0.3854891357421875,0.1586326141357422,0.01974527168273926
75,399877.0,-0.385,0.158,0.026,1.8606337890625,0.12934864807128907,0.6774359741210938
76,399887.0,-0.385,0.158,0.025,-0.3862947692871094,0.15905262756347657,0.01914205551147461
77,399897.0,-0.385,0.158,0.025,-0.3861885986328125,0.15905592346191405,0.019096086502075196
78,399907.0,-0.385,0.158,0.026,1.86063916015625,0.1293504638671875,0.6774353637695313
79,399917.0,-0.385,0.158,0.026,1.8606190185546876,0.12936103820800782,0.6774236450195312
80,399927.0,-0.385,0.158,0.025,-0.386434814453125,0.1591647186279297,0.01902195930480957
81,399937.0,-0.385,0.158,0.025,1.8606575927734375,0.12934437561035156,0.6774078979492187
82,399947.0,-0.385,0.158,0.026,1.860622314453125,0.12935606384277343,0.6774212036132813
83,399957.0,-0.385,0.158,0.026,-0.3862662048339844,0.15902256774902343,0.019098886489868162
84,399967.0,-0.385,0.158,0.026,1.8606400146484374,0.1293297882080078,0.6773933715820313
85,399977.0,-0.385,0.158,0.025,1.8606890869140624,0.12938632202148437,0.67744921875
86,399987.0,-0.385,0.158,0.025,1.860684326171875,0.1293407440185547,0.6774314575195313
87,399997.0,-0.385,0.158,0.026,1.8606573486328124,0.1293574676513672,0.6774585571289062
88,400007.0,-0.385,0.158,0.026,1.8606856689453124,0.12937155151367188,0.6774412231445313
89,400017.0,-0.385,0.158,0.026,1.8606617431640624,0.1293205108642578,0.6774228515625
90,400027.0,-0.385,0.158,0.025,1.8606246337890624,0.12931559753417968,0.6773758544921875
91,400037.0,-0.384,0.158,0.027,1.86067919921875,0.12932835388183594,0.677435791015625
92,400047.0,-0.385,0.158,0.027,-0.38624603271484376,0.15900675964355468,0.019240198135375978
93,400057.0,-0.385,0.158,0.027,-0.3862615051269531,0.15899232482910156,0.019213542938232422
94,400067.0,-0.385,0.158,0.026,-0.38628363037109376,0.15907774353027343,0.019345863342285156
95,400077.0,-0.385,0.158,0.026,-0.3852334899902344,0.15850994873046875,0.019845428466796874
96,400087.0,-0.385,0.158,0.028,-0.386311767578125,0.159067626953125,0.01927611541748047
97,400097.0,-0.385,0.158,0.028,-0.38634036254882814,0.15897792053222656,0.01915241241455078
