,stateZ_timestamp,cf_x,cf_y,cf_z,obs_x,obs_y,obs_z,obs_temp_x,obs_temp_y,obs_temp_z
0,111214.0,0.0,0.0,0.031,,,,,,
1,111224.0,0.0,0.0,0.032,,,,,,
2,111234.0,0.0,0.0,0.032,,,,,,
3,111244.0,0.0,0.0,0.032,,,,,,
4,111254.0,0.0,0.0,0.032,,,,,,
5,111264.0,0.0,0.0,0.032,,,,,,
6,111274.0,0.0,0.0,0.032,,,,,,
7,111284.0,0.0,0.0,0.032,,,,,,
8,111294.0,0.0,0.0,0.032,,,,,,
9,111304.0,0.0,0.0,0.033,,,,,,
10,111314.0,0.0,0.0,0.033,,,,,,
11,111324.0,0.0,0.0,0.033,,,,,,
12,111334.0,0.0,0.0,0.033,,,,,,
13,111344.0,0.0,0.0,0.031,,,,,,
14,111354.0,0.0,0.0,0.031,,,,,,
15,111364.0,0.0,0.0,0.031,,,,,,
16,111374.0,0.0,0.0,0.031,,,,,,
17,111384.0,0.0,0.0,0.031,,,,,,
18,111394.0,0.0,0.0,0.031,,,,,,
19,111404.0,0.0,0.0,0.031,,,,,,
20,111414.0,0.0,0.0,0.031,,,,,,
21,111424.0,0.0,0.0,0.031,,,,,,
22,111434.0,0.0,0.0,0.031,,,,,,
23,111444.0,0.0,0.0,0.031,,,,,,
24,111454.0,0.0,0.0,0.031,,,,,,
25,111464.0,0.0,0.0,0.031,,,,,,
26,111474.0,0.001,0.0,0.031,,,,,,
27,111484.0,0.0,0.0,0.031,,,,,,
28,111494.0,0.0,0.0,0.031,,,,,,
29,111504.0,0.0,0.0,0.031,,,,,,
30,111514.0,0.0,0.0,0.032,,,,,,
31,111524.0,-0.001,0.0,0.032,,,,,,
32,111534.0,0.0,0.0,0.032,,,,,,
33,111544.0,0.0,0.0,0.033,,,,,,
34,111554.0,-0.001,0.0,0.033,,,,,,
35,111564.0,-0.001,0.0,0.031,,,,,,
36,111574.0,-0.001,0.0,0.031,,,,,,
37,111584.0,-0.001,0.0,0.031,,,,,,
38,111594.0,0.0,0.0,0.031,,,,,,
39,111604.0,0.001,0.0,0.031,,,,,,
40,111614.0,0.0,0.0,0.031,,,,,,
41,111624.0,0.0,0.0,0.031,,,,,,
42,111634.0,0.0,0.0,0.031,,,,,,
43,111644.0,0.0,0.0,0.031,,,,,,
44,111654.0,0.001,0.0,0.032,,,,,,
45,111664.0,0.001,0.0,0.032,,,,,,
46,111674.0,0.0,0.0,0.032,,,,,,
47,111684.0,0.0,0.0,0.032,,,,,,
48,111694.0,0.0,0.0,0.032,,,,,,
49,111704.0,0.001,0.0,0.033,,,,,,
50,111714.0,0.001,0.0,0.033,,,,,,
51,111724.0,0.001,0.0,0.033,,,,,,
52,111734.0,0.002,0.0,0.033,,,,,,
53,111744.0,0.002,0.0,0.033,,,,,,
54,111754.0,0.0,0.0,0.033,,,,,,
55,111764.0,0.002,0.0,0.033,,,,,,
56,111774.0,0.0,0.0,0.033,,,,,,
57,111784.0,0.001,0.0,0.033,,,,,,
58,111794.0,0.001,0.0,0.033,,,,,,
59,111804.0,0.002,0.0,0.033,,,,,,
60,111814.0,0.002,0.0,0.033,,,,,,
61,111824.0,0.0,0.0,0.034,,,,,,
62,111834.0,0.0,0.0,0.033,,,,,,
63,111844.0,0.0,0.0,0.033,,,,,,
64,111854.0,0.0,0.0,0.033,,,,,,
65,111864.0,0.001,0.0,0.034,,,,,,
66,111874.0,0.0,0.0,0.032,,,,,,
67,111884.0,0.0,0.0,0.032,,,,,,
68,111894.0,0.001,0.0,0.032,,,,,,
69,111904.0,0.001,0.0,0.033,,,,,,
70,111914.0,0.0,0.0,0.033,,,,,,
71,111924.0,0.001,0.0,0.031,,,,,,
72,111934.0,0.0,0.0,0.031,,,,,,
73,111944.0,0.0,0.0,0.031,,,,,,
74,111954.0,0.0,0.0,0.031,,,,,,
75,111964.0,0.0,0.0,0.031,,,,,,
76,111974.0,0.0,0.0,0.031,,,,,,
77,111984.0,0.0,0.0,0.031,,,,,,
78,111994.0,0.0,0.0,0.031,,,,,,
79,112004.0,-0.001,0.0,0.032,,,,,,
80,112014.0,-0.001,0.0,0.032,,,,,,
81,112024.0,-0.001,0.0,0.032,,,,,,
82,112034.0,0.002,0.0,0.032,,,,,,
83,112044.0,0.002,0.0,0.032,,,,,,
84,112054.0,0.002,0.0,0.033,,,,,,
85,112064.0,0.001,0.0,0.033,,,,,,
86,112074.0,0.002,0.0,0.034,,,,,,
87,112084.0,0.002,0.0,0.034,,,,,,
88,112094.0,0.002,0.0,0.033,,,,,,
89,112104.0,0.001,0.0,0.033,,,,,,
90,112114.0,0.001,0.0,0.033,,,,,,
91,112124.0,0.002,-0.001,0.033,,,,,,
92,112134.0,0.002,-0.001,0.033,,,,,,
93,112144.0,0.001,-0.001,0.033,,,,,,
94,112154.0,0.001,-0.001,0.034,,,,,,
95,112164.0,0.001,0.0,0.034,,,,,,
96,112174.0,0.002,0.0,0.034,,,,,,
97,112184.0,0.002,0.0,0.033,,,,,,
98,112194.0,0.001,0.0,0.033,,,,,,
99,112204.0,0.003,0.0,0.033,,,,,,
100,112214.0,0.003,0.0,0.033,,,,,,
101,112224.0,0.002,-0.001,0.033,,,,,,
102,112234.0,0.001,0.0,0.033,,,,,,
103,112244.0,0.002,-0.001,0.033,,,,,,
104,112254.0,0.002,0.0,0.033,,,,,,
105,112264.0,0.002,0.0,0.033,,,,,,
106,112274.0,0.001,0.0,0.032,,,,,,
107,112284.0,0.002,-0.001,0.032,,,,,,
108,112294.0,0.001,-0.001,0.032,,,,,,
109,112304.0,0.001,0.0,0.032,,,,,,
110,112314.0,0.003,-0.001,0.032,,,,,,
111,112324.0,0.001,0.0,0.032,,,,,,
112,112334.0,0.003,-0.001,0.032,,,,,,
113,112344.0,0.003,0.0,0.032,,,,,,
114,112354.0,0.003,0.0,0.032,,,,,,
115,112364.0,0.001,-0.001,0.032,,,,,,
116,112374.0,0.001,-0.001,0.032,,,,,,
117,112384.0,0.0,-0.001,0.032,,,,,,
118,112394.0,0.001,0.0,0.032,,,,,,
119,112404.0,0.001,-0.001,0.03,,,,,,
120,112414.0,0.001,-0.001,0.03,,,,,,
121,112424.0,0.0,-0.001,0.03,,,,,,
122,112434.0,0.001,-0.001,0.03,,,,,,
123,112444.0,0.001,-0.001,0.03,,,,,,
124,112454.0,0.0,-0.001,0.03,,,,,,
125,112464.0,0.001,-0.001,0.03,,,,,,
126,112474.0,0.001,0.0,0.03,,,,,,
127,112484.0,0.0,-0.001,0.03,,,,,,
128,112494.0,0.001,-0.001,0.03,,,,,,
129,112504.0,0.001,-0.001,0.03,,,,,,
130,112514.0,0.001,-0.001,0.03,,,,,,
131,112524.0,0.001,-0.001,0.03,,,,,,
132,112534.0,0.001,-0.001,0.032,,,,,,
133,112544.0,0.0,-0.001,0.032,,,,,,
134,112554.0,0.0,-0.001,0.032,,,,,,
135,112564.0,0.0,-0.001,0.032,,,,,,
136,112574.0,0.0,-0.001,0.032,,,,,,
137,112584.0,0.003,-0.001,0.033,,,,,,
138,112594.0,0.003,-0.001,0.033,,,,,,
139,112604.0,0.002,-0.001,0.033,,,,,,
140,112614.0,0.002,-0.001,0.033,,,,,,
141,112624.0,0.003,-0.001,0.032,,,,,,
142,112634.0,0.002,-0.001,0.032,,,,,,
143,112644.0,0.002,-0.001,0.032,,,,,,
144,112654.0,0.003,-0.001,0.032,,,,,,
145,112664.0,0.003,-0.001,0.032,,,,,,
146,112674.0,0.003,-0.001,0.033,,,,,,
147,112684.0,0.004,-0.001,0.033,,,,,,
148,112694.0,0.001,-0.002,0.033,,,,,,
149,112704.0,0.002,-0.002,0.033,,,,,,
150,112714.0,0.001,-0.002,0.034,,,,,,
151,112724.0,0.001,-0.002,0.034,,,,,,
152,112734.0,0.002,-0.002,0.034,,,,,,
153,112744.0,0.001,-0.002,0.034,,,,,,
154,112754.0,0.002,-0.002,0.033,,,,,,
155,112764.0,0.001,-0.002,0.033,,,,,,
156,112774.0,0.001,-0.002,0.033,,,,,,
157,112784.0,0.002,-0.002,0.034,,,,,,
158,112794.0,0.001,-0.002,0.034,,,,,,
159,112804.0,0.002,-0.002,0.034,,,,,,
160,112814.0,0.001,-0.002,0.034,,,,,,
161,112824.0,0.002,-0.002,0.034,,,,,,
162,112834.0,0.001,-0.002,0.035,,,,,,
163,112844.0,0.002,-0.002,0.034,,,,,,
164,112854.0,0.001,-0.002,0.034,,,,,,
165,112864.0,0.001,-0.002,0.034,,,,,,
166,112874.0,0.001,-0.002,0.035,,,,,,
167,112884.0,0.001,-0.002,0.034,,,,,,
168,112894.0,0.001,-0.002,0.034,,,,,,
169,112904.0,0.0,-0.002,0.034,,,,,,
170,112914.0,0.001,-0.002,0.034,,,,,,
171,112924.0,0.001,-0.002,0.034,,,,,,
172,112934.0,0.001,-0.002,0.033,,,,,,
173,112944.0,0.001,-0.002,0.033,,,,,,
174,112954.0,0.001,-0.002,0.033,,,,,,
175,112964.0,0.001,-0.002,0.033,,,,,,
176,112974.0,0.001,-0.002,0.032,,,,,,
177,112984.0,0.0,-0.002,0.032,,,,,,
178,112994.0,0.0,-0.002,0.032,,,,,,
179,113004.0,0.0,-0.002,0.031,,,,,,
180,113014.0,0.0,-0.002,0.031,,,,,,
181,113024.0,0.0,-0.002,0.032,,,,,,
182,113034.0,0.0,-0.002,0.032,,,,,,
183,113044.0,0.0,-0.002,0.032,,,,,,
184,113054.0,0.0,-0.002,0.032,,,,,,
185,113064.0,0.0,-0.002,0.031,,,,,,
186,113074.0,-0.001,-0.001,0.031,,,,,,
187,113084.0,0.0,-0.002,0.031,,,,,,
188,113094.0,0.0,-0.002,0.031,,,,,,
189,113104.0,0.0,-0.002,0.031,,,,,,
190,113114.0,-0.001,-0.002,0.031,,,,,,
191,113124.0,-0.001,-0.002,0.031,,,,,,
192,113134.0,-0.001,-0.002,0.031,,,,,,
193,113144.0,-0.001,-0.002,0.031,,,,,,
194,113154.0,-0.002,-0.002,0.031,,,,,,
195,113164.0,-0.002,-0.002,0.031,,,,,,
196,113174.0,-0.001,-0.002,0.031,,,,,,
197,113184.0,-0.002,-0.002,0.031,,,,,,
198,113194.0,-0.002,-0.002,0.031,,,,,,
199,113204.0,-0.002,-0.002,0.031,,,,,,
200,113214.0,-0.003,-0.002,0.031,,,,,,
201,113224.0,-0.001,-0.002,0.031,,,,,,
202,113234.0,-0.001,-0.002,0.031,,,,,,
203,113244.0,-0.002,-0.002,0.032,,,,,,
204,113254.0,0.0,-0.002,0.032,,,,,,
205,113264.0,-0.001,-0.002,0.032,,,,,,
206,113274.0,-0.001,-0.002,0.032,,,,,,
