,stateZ_timestamp,cf_x,cf_y,cf_z,obs_x,obs_y,obs_z,cf_mocap_data_x,cf_mocap_data_y,cf_mocap_data_z
0,12092.0,0.0,0.0,0.0,1.37902685546875,-0.6516873779296875,0.66262353515625,0.05449316787719727,0.06356545257568359,0.02605264663696289
1,12102.0,0.0,0.0,0.792,1.378981689453125,-0.6517075805664062,0.6626067504882812,0.05429415512084961,0.06387590408325196,0.02602593994140625
2,12112.0,0.0,0.0,0.79,1.3790404052734375,-0.6517042846679687,0.6626027221679688,0.05449425888061524,0.06365314865112305,0.02611259460449219
3,12122.0,0.0,0.0,0.016,1.379041748046875,-0.6517317504882812,0.6626118774414063,0.05453522872924805,0.06356029510498047,0.02605596923828125
4,12132.0,0.0,0.0,0.016,1.3790673828125,-0.6516635131835937,0.6626040649414062,0.0545261116027832,0.06355506896972657,0.02604248046875
5,12142.0,0.0,0.0,0.016,1.379016357421875,-0.65169921875,0.6626187744140625,0.05449503326416016,0.06353530883789063,0.02604386329650879
6,12152.0,0.0,0.0,0.016,1.3788878173828125,-0.651646728515625,0.6625297241210938,0.05433274841308594,0.06380261611938477,0.026069854736328123
7,12162.0,0.0,0.0,0.014,1.3788646240234375,-0.6516231079101562,0.6625249633789062,0.054544506072998045,0.06355134201049804,0.02602047920227051
8,12172.0,0.0,0.0,0.014,1.3790057373046876,-0.6516732788085937,0.6626255493164063,0.054509449005126956,0.06356533432006836,0.026051973342895506
9,12182.0,0.0,0.0,0.014,1.3788624267578125,-0.6515802612304687,0.6625301513671875,0.054429744720458986,0.06364427185058594,0.026008554458618164
10,12192.0,0.0,0.0,0.014,1.3789952392578124,-0.6516434326171875,0.6626336669921875,0.05446516036987305,0.06345539474487305,0.02603460693359375
11,12202.0,0.0,0.0,0.014,1.3789970703125,-0.6517037963867187,0.6626543579101563,0.05449190902709961,0.06356688690185547,0.026043415069580078
12,12212.0,0.0,0.0,0.014,1.3788756103515625,-0.65160009765625,0.6625760498046875,0.05451768112182617,0.06358585739135743,0.02603330421447754
13,12222.0,0.0,0.0,0.014,1.3790057373046876,-0.6516683349609375,0.6626260375976563,0.05449465560913086,0.06357358932495118,0.026076866149902345
14,12232.0,0.0,0.0,0.014,1.378994873046875,-0.6516174926757813,0.6626592407226563,0.054253158569335935,0.06383126831054688,0.026085609436035155
15,12242.0,0.0,0.0,0.014,1.37901708984375,-0.6516718139648437,0.6626533203125,0.054505855560302734,0.0635893898010254,0.026083829879760743
16,12252.0,0.001,0.0,0.014,1.3788665771484374,-0.6516603393554687,0.66258544921875,0.05451417922973633,0.06358283615112305,0.026074172973632813
17,12262.0,0.0,0.0,0.014,1.379051025390625,-0.6517285766601563,0.6626762084960938,0.05452362060546875,0.06360166168212891,0.02607143020629883
18,12272.0,0.001,0.0,0.014,1.37886474609375,-0.6516105346679687,0.6625935668945313,0.054456901550292966,0.0637223892211914,0.026109601974487303
19,12282.0,0.001,0.0,0.014,1.378999267578125,-0.6516942138671875,0.6626602172851562,0.054488578796386716,0.0635931167602539,0.026025144577026368
20,12292.0,0.0,0.0,0.016,1.3790205078125,-0.6516956176757812,0.6626619873046875,0.05448395538330078,0.06360474014282226,0.026046478271484375
21,12302.0,0.001,0.001,0.016,1.3788948974609374,-0.6515856323242187,0.662566162109375,0.0544847297668457,0.06359758758544921,0.02602520179748535
22,12312.0,0.001,0.0,0.016,1.3788819580078124,-0.6516493530273437,0.6625443725585938,0.054452857971191405,0.06358279037475587,0.02601633071899414
23,12322.0,0.001,0.0,0.016,1.378973876953125,-0.6517052001953125,0.66260009765625,0.05449140167236328,0.06372919082641601,0.026104526519775392
24,12332.0,0.001,0.001,0.016,1.378645751953125,-0.6499318237304688,0.6632416381835937,0.05449790191650391,0.06360554122924805,0.026035440444946288
25,12342.0,0.002,0.001,0.017,1.3786666259765625,-0.65009375,0.6631788940429687,0.05446062088012695,0.06358970642089844,0.0259937801361084
26,12352.0,0.001,0.001,0.017,1.3788092041015625,-0.6515938720703125,0.6624926147460938,0.054439075469970705,0.06359300613403321,0.026022596359252928
27,12362.0,0.002,0.001,0.017,1.37878564453125,-0.650112548828125,0.6633150634765625,0.05446529769897461,0.06372120666503907,0.026010225296020508
28,12372.0,0.0,0.0,0.017,1.378784912109375,-0.650130859375,0.6632520141601562,0.05445096206665039,0.06357693862915038,0.02600323295593262
29,12382.0,0.001,0.001,0.016,1.378644287109375,-0.65008203125,0.6631397094726562,0.05445641708374024,0.06358283233642578,0.025959625244140624
