Time,Agent_0_X,Agent_0_Y,Agent_0_Z,Agent_1_X,Agent_1_Y,Agent_1_Z,Agent_2_X,Agent_2_Y,Agent_2_Z
0.0,0.0,-0.25,1.0,-0.25,-0.5,1.0,0.25,-0.75,1.0
0.004166666666666667,0.0,-0.25,1.0000000000876301,-0.25,-0.5,1.0000000000876301,0.25,-0.75,1.0000000000876301
0.008333333333333333,-1.5099068803014588e-43,-0.24999997499702128,1.0000000003421095,-0.25,-0.4999999749970213,1.0000000003421095,0.25,-0.7499999749970213,1.0000000003421095
0.0125,6.335556068899224e-28,-0.24999990094879465,1.0000000008331837,-0.25,-0.49999990094879465,1.0000000008331837,0.25,-0.7499999009487947,1.0000000008331837
0.016666666666666666,3.728585551493023e-27,-0.24999975473421274,1.0000000016219661,-0.25,-0.4999997547342127,1.0000000016219661,0.25,-0.7499997547342128,1.0000000016219661
0.020833333333333332,1.2800960519526768e-26,-0.24999951411842058,1.0000000027617106,-0.25,-0.49999951411842053,1.0000000027617106,0.25,-0.7499995141184206,1.0000000027617106
0.025,3.348618826358349e-26,-0.24999915771923645,1.0000000042985229,-0.25,-0.4999991577192364,1.0000000042985229,0.25,-0.7499991577192364,1.0000000042985229
0.029166666666666667,7.337169966159477e-26,-0.24999866497485268,1.0000000062720127,-0.25,-0.4999986649748527,1.0000000062720127,0.25,-0.7499986649748527,1.0000000062720127
0.03333333333333333,1.42360267645754e-25,-0.2499980161127677,1.0000000087158938,-0.25,-0.4999980161127677,1.0000000087158938,0.25,-0.7499980161127677,1.0000000087158938
0.0375,2.529826749699177e-25,-0.24999719211990212,1.0000000116585346,-0.25,-0.4999971921199021,1.0000000116585346,0.25,-0.7499971921199021,1.0000000116585346
0.041666666666666664,4.206637035220437e-25,-0.24999617471385405,1.000000015123463,-0.25,-0.49999617471385405,1.000000015123463,0.25,-0.749996174713854,1.000000015123463
0.04583333333333333,6.639451948226698e-25,-0.24999494631524974,1.0000000191298297,-0.25,-0.4999949463152497,1.0000000191298297,0.25,-0.7499949463152498,1.0000000191298297
0.05,1.0046697457640232e-24,-0.24999349002114823,1.0000000236928344,-0.25,-0.49999349002114823,1.0000000236928344,0.25,-0.7499934900211482,1.0000000236928344
0.05416666666666667,1.4681284189945691e-24,-0.2499917895794595,1.000000028824114,-0.25,-0.4999917895794595,1.000000028824114,0.25,-0.7499917895794594,1.000000028824114
0.058333333333333334,2.0827627946305283e-24,-0.24998982936433745,1.0000000345321,-0.25,-0.49998982936433745,1.0000000345321,0.25,-0.7499898293643374,1.0000000345321
0.0625,2.880281520232596e-24,-0.2499875943525108,1.000000040822346,-0.25,-0.4999875943525108,1.000000040822346,0.25,-0.7499875943525108,1.000000040822346
0.06666666666666667,3.8957477455370485e-24,-0.2499850701005158,1.0000000476978255,-0.25,-0.4999850701005158,1.0000000476978255,0.25,-0.7499850701005158,1.0000000476978255
0.07083333333333333,5.1672729223972735e-24,-0.24998224272279654,1.0000000551592068,-0.25,-0.49998224272279657,1.0000000551592068,0.25,-0.7499822427227966,1.0000000551592068
