0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,0.000000000000000000e+00
2.000000000000000042e-02,-3.662161216319534286e-25
2.999999999999999889e-02,8.828563905666269051e-09
4.000000000000000083e-02,5.598556822715052329e-08
5.000000000000000278e-02,2.097641703495109728e-07
5.999999999999999778e-02,5.913252054328549178e-07
7.000000000000000666e-02,1.383617797300959541e-06
8.000000000000000167e-02,2.834537977100345177e-06
8.999999999999999667e-02,5.254435914292976501e-06
1.000000000000000056e-01,9.008148007983313312e-06
1.100000000000000006e-01,1.450682356733718879e-05
1.199999999999999956e-01,2.219235782084674432e-05
1.300000000000000044e-01,3.252336687502399939e-05
1.400000000000000133e-01,4.596017457356853274e-05
1.499999999999999944e-01,6.295149907097524799e-05
1.600000000000000033e-01,8.392331420286107890e-05
1.700000000000000122e-01,1.092702956872623158e-04
1.799999999999999933e-01,1.393496499869917847e-04
1.900000000000000022e-01,1.744772151928070450e-04
2.000000000000000111e-01,2.149257249886055870e-04
2.099999999999999922e-01,2.609251087756586326e-04
2.200000000000000011e-01,3.126646748538224421e-04
2.300000000000000100e-01,3.702969900237396855e-04
2.399999999999999911e-01,4.339432285436694518e-04
2.500000000000000000e-01,5.036997187774463385e-04
2.600000000000000089e-01,5.796453712325296860e-04
2.700000000000000178e-01,6.618496316714081581e-04
2.800000000000000266e-01,7.503805723082215742e-04
2.899999999999999800e-01,8.453127172943556127e-04
2.999999999999999889e-01,9.467341998253768053e-04
3.099999999999999978e-01,1.054752870562644272e-03
3.200000000000000067e-01,1.169501022720527156e-03
3.300000000000000155e-01,1.291138468425578542e-03
3.400000000000000244e-01,1.419853791853130810e-03
3.500000000000000333e-01,1.555863712692279318e-03
3.599999999999999867e-01,1.699410611717506884e-03
3.699999999999999956e-01,1.850758389751821619e-03
3.800000000000000044e-01,2.010186942203538892e-03
3.900000000000000133e-01,2.177985623986808741e-03
4.000000000000000222e-01,2.354446145801757442e-03
4.100000000000000311e-01,2.539855376746818789e-03
4.199999999999999845e-01,2.734488527467609283e-03
4.299999999999999933e-01,2.938603153188989840e-03
4.400000000000000022e-01,3.152434350702037254e-03
4.500000000000000111e-01,3.376191433746682843e-03
4.600000000000000200e-01,3.610056264890183515e-03
4.700000000000000289e-01,3.854183307326052802e-03
4.799999999999999822e-01,4.108701345322646539e-03
4.899999999999999911e-01,4.373716714957107989e-03
5.000000000000000000e-01,4.649317793768523166e-03
5.100000000000000089e-01,4.935580424163076366e-03
5.200000000000000178e-01,5.232573894437776360e-03
5.300000000000000266e-01,5.540367075323298848e-03
5.400000000000000355e-01,5.859034309730978655e-03
5.500000000000000444e-01,6.188660678322819263e-03
5.600000000000000533e-01,6.529346311709996464e-03
5.700000000000000622e-01,6.881209488388880663e-03
5.799999999999999600e-01,7.244388341650191687e-03
5.899999999999999689e-01,7.619041093335183340e-03
5.999999999999999778e-01,8.005344831364802696e-03
6.099999999999999867e-01,8.403492944885038521e-03
6.199999999999999956e-01,8.813691419088109935e-03
6.300000000000000044e-01,9.236154265197199162e-03
6.400000000000000133e-01,9.671098414637814902e-03
6.500000000000000222e-01,1.011873843639026632e-02
6.600000000000000311e-01,1.057928144102075578e-02
6.700000000000000400e-01,1.105292251395898276e-02
6.800000000000000488e-01,1.153984097619186258e-02
6.900000000000000577e-01,1.204019770637609031e-02
7.000000000000000666e-01,1.255413367952467815e-02
7.099999999999999645e-01,1.308176978991179053e-02
7.199999999999999734e-01,1.362320793609965615e-02
7.299999999999999822e-01,1.417853326035719425e-02
7.399999999999999911e-01,1.474781735898838923e-02
7.500000000000000000e-01,1.533112221905818216e-02
7.600000000000000089e-01,1.592850459432502627e-02
7.700000000000000178e-01,1.654002051112165445e-02
7.800000000000000266e-01,1.716572959429661302e-02
7.900000000000000355e-01,1.780569892355970962e-02
8.000000000000000444e-01,1.846000616977496595e-02
8.100000000000000533e-01,1.912874181586855793e-02
8.200000000000000622e-01,1.981201033406713302e-02
8.300000000000000711e-01,2.050993026545043854e-02
8.399999999999999689e-01,2.122263322417347262e-02
8.499999999999999778e-01,2.195026192197757284e-02
8.599999999999999867e-01,2.269296737380722961e-02
8.699999999999999956e-01,2.345090549811011671e-02
8.800000000000000044e-01,2.422423336225451584e-02
8.900000000000000133e-01,2.501310534214151726e-02
9.000000000000000222e-01,2.581766946453938408e-02
9.100000000000000311e-01,2.663806418134410242e-02
9.200000000000000400e-01,2.747441578864738207e-02
9.300000000000000488e-01,2.832683665314597241e-02
9.400000000000000577e-01,2.919542434797726266e-02
9.500000000000000666e-01,3.008026173406690498e-02
9.599999999999999645e-01,3.098141795634052134e-02
9.699999999999999734e-01,3.189895026139864809e-02
9.799999999999999822e-01,3.283290648875508699e-02
9.899999999999999911e-01,3.378332804503862696e-02
1.000000000000000000e+00,3.475025314225604206e-02
1.010000000000000009e+00,3.573372006882970242e-02
1.020000000000000018e+00,3.673377026603902307e-02
1.030000000000000027e+00,3.775045100198121117e-02
1.040000000000000036e+00,3.878381746846857464e-02
1.050000000000000044e+00,3.983393417076461912e-02
1.060000000000000053e+00,4.090087553241273516e-02
1.070000000000000062e+00,4.198472569385827691e-02
1.080000000000000071e+00,4.308557754013533914e-02
1.090000000000000080e+00,4.420353104567559949e-02
1.100000000000000089e+00,4.533869106971775975e-02
1.110000000000000098e+00,4.649116477084147547e-02
1.120000000000000107e+00,4.766105883158262141e-02
1.130000000000000115e+00,4.884847669259945874e-02
1.140000000000000124e+00,5.005351599015499253e-02
1.150000000000000133e+00,5.127626637148474664e-02
1.159999999999999920e+00,5.251680783160942584e-02
1.169999999999999929e+00,5.377520967481796976e-02
1.179999999999999938e+00,5.505153015748728840e-02
1.189999999999999947e+00,5.634581681958526767e-02
1.199999999999999956e+00,5.765810746368875417e-02
1.209999999999999964e+00,5.898843169604064962e-02
1.219999999999999973e+00,6.033681290706975620e-02
1.229999999999999982e+00,6.170327054130125832e-02
