0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,5.000009792230530881e-01
-1.718329859143489498e-23,-1.084525692013969586e-23,5.000008561621902548e-01
-9.128187563769156634e-08,-5.259374085180927091e-08,5.000043378734161381e-01
-3.370573065547542201e-07,-4.270099224481257636e-08,5.000039545365294602e-01
-7.566856662732547177e-07,1.848621753616612879e-07,5.000095105632959003e-01
-1.275310825319089677e-06,1.082744816157588964e-06,5.000107359316726674e-01
-1.769765231014583535e-06,3.241239010783204184e-06,5.000193939658488240e-01
-1.655142522059010376e-06,7.782658177317166670e-06,5.000367759101468357e-01
-4.358311924236833277e-07,1.598358585847964840e-05,5.000622944042460993e-01
2.656565997757165619e-06,2.967688508704426276e-05,5.000952206248270304e-01
7.956769219062208678e-06,5.081282735089811268e-05,5.001349928921079435e-01
1.522274731855679020e-05,8.138487144972422326e-05,5.001812139035314297e-01
2.367683009839476453e-05,1.233645230274494687e-04,5.002338488815033513e-01
3.217140891567803911e-05,1.786347275181194758e-04,5.002933453038980183e-01
3.943914034769220784e-05,2.489028870000633067e-04,5.003605269365438701e-01
4.436456122461325476e-05,3.356081418749816956e-04,5.004363089015951838e-01
4.621941409345576576e-05,4.398636849944385853e-04,5.005214274148069853e-01
4.482274048412225332e-05,5.624727799463508354e-04,5.006163787370812024e-01
4.059863337913469648e-05,7.040262662947808885e-04,5.007215662265345202e-01
3.451274194127538938e-05,8.650507353025084631e-04,5.008374495745655519e-01
2.789017614359943397e-05,1.046156175882127348e-03,5.009645187206789307e-01
2.214967099761652015e-05,1.248139704809599461e-03,5.011031044914804333e-01
1.851188928256246422e-05,1.472027416293966414e-03,5.012531779456643743e-01
1.774475556127013995e-05,1.719061473077468068e-03,5.014142973714144080e-01
2.000097922672036874e-05,1.990651966650633636e-03,5.015857591269885507e-01
2.478656046773947569e-05,2.288310861740535697e-03,5.017668720217540734e-01
3.107263644515505149e-05,2.613576037469322617e-03,5.019571996228485711e-01
3.752838979237875749e-05,2.967927984437019728e-03,5.021566503349832455e-01
4.282046073067647681e-05,3.352705795115563329e-03,5.023654064142666353e-01
4.590718151515869736e-05,3.769038553807771506e-03,5.025837838409280556e-01
4.625961162281817969e-05,4.217813002873019475e-03,5.028121335369435396e-01
4.396196906730842158e-05,4.699691435621798814e-03,5.030508261304174056e-01
3.967344987422456091e-05,5.215177404386684389e-03,5.033002726953906825e-01
3.446445793334846838e-05,5.764710525396723670e-03,5.035609020703663008e-01
2.956736286870601679e-05,6.348764303203548870e-03,5.038330639298185254e-01
2.609956589124375151e-05,6.967924503302468618e-03,5.041169046194596826e-01
2.482076965511717870e-05,7.622935447457275179e-03,5.044122993960068468e-01
2.597668682558958300e-05,8.314711098774579465e-03,5.047188929531534196e-01
2.926120113105446535e-05,9.044313335168153653e-03,5.050362300732752496e-01
3.390262385033634106e-05,9.812902187960288042e-03,5.053639053382259494e-01
3.885201720640718396e-05,1.062166514928280028e-02,5.057016613137098604e-01
4.302844850751083653e-05,1.147173680397679633e-02,5.060494106962183380e-01
4.556352138205763542e-05,1.236412462222893915e-02,5.064072088584711251e-01
4.598918613684776623e-05,1.329965810977501786e-02,5.067752207256015495e-01
4.432795177024002452e-05,1.427897396423606115e-02,5.071537035037217978e-01
4.106871054408894656e-05,1.530254028655134851e-02,5.075429912520132980e-01
3.703816944438457608e-05,1.637071231476825914e-02,5.079434531280753173e-01
3.320114801708430992e-05,1.748380499180661116e-02,5.083554164488738314e-01
3.043770350701204152e-05,1.864216587499829825e-02,5.087790795314021119e-01
2.934822886843045767e-05,1.984623437579481273e-02,5.092144568554234363e-01
3.012922630639193973e-05,2.109657766295528966e-02,5.096613853531095639e-01
3.254494825661579933e-05,2.239389804270551509e-02,5.101195869932244609e-01
3.599776645552989733e-05,2.373901100732353844e-02,5.105887550187564461e-01
3.967786665253932428e-05,2.513279794110178517e-02,5.110686275444970006e-01
4.275547792518212932e-05,2.657614262920711054e-02,5.115590305959629713e-01
4.457025224627595209e-05,2.806986493324837781e-02,5.120598950721154674e-01
4.477457428052942329e-05,2.961466634519747607e-02,5.125712610792344526e-01
4.339977797610951424e-05,3.121109943871661768e-02,5.130932754557738784e-01
4.083322120417241108e-05,3.285956712651721262e-02,5.136261756881914664e-01
3.771514657229404994e-05,3.456035028740569309e-02,5.141702503931288026e-01
3.478226163424959119e-05,3.631365619280629842e-02,5.147257775704527916e-01
3.269599110043668310e-05,3.811967665987554821e-02,5.152929579457296017e-01
3.189518062159749101e-05,3.997864406044531610e-02,5.158718681630007907e-01
3.250571297490176839e-05,4.189087455264017129e-02,5.164624508665195401e-01
3.432517375430500545e-05,4.385679056615030685e-02,5.170645414249995797e-01
3.688293653660331116e-05,4.587691841154523109e-02,5.176779163360710756e-01
3.955891130780821049e-05,4.795186168799245308e-02,5.183023447995380728e-01
4.173149079173667589e-05,5.008225626419934157e-02,5.189376316735119232e-01
4.291967727456164256e-05,5.226871677862204163e-02,5.195836490027174737e-01
4.288705765834687194e-05,5.451178651829670374e-02,5.202403570090526896e-01
4.168535128409821662e-05,5.681190147684144626e-02,5.209078128765339821e-01
3.963007877983675806e-05,5.916937570766905158e-02,5.215861621395507797e-01
3.721683910890436013e-05,6.158441001057215342e-02,5.222756089750857367e-01
3.499998005927553059e-05,6.405712098643270846e-02,5.229763692148907683e-01
3.346313692529300464e-05,6.658758364031511223e-02,5.236886185733022891e-01
3.291166969244709034e-05,6.917587848999146027e-02,5.244124519965104314e-01
